Irradiance reflectance or albedo [-] of six benthic substrate types.

Spectra 1.-4. are averages of in water spectra collected with an ASD Handheld-2 with a customized underwater housing using a Spectralon panel 
as white reference. Substrate and panel were illuminated with a tungsten halogen light source at ~ 10 cm distance (Greg Asner, personal communication).


0. constant; a constant irradiance reflectance of 0.1 or 10 % [1]
1. sand; spectrum is an average of 24 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
2. coral; spectrum is an average of 101 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
3. cca (crustose coralline algae); spectrum is an average of 751 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
4. macroalgae; spectrum is an average of 102 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
5. seagrass; seagrass (Zostera marina) from the Wismar bay in the Baltic Sea (Germany); measured in air (Schnalzger 2017 [2]) as provided with WASI6 [1]

[1] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.
[2] Schnalzger (2017): Spektrale Datenbank für den Untergrund der Ostsee sowie Einfluss auf die Bestimmung der Wassertiefe. Master Thesis University of Augsburg, 68 pp.

wavelength_nm,constant,sand,coral,cca,macroalgae,seagrass
491,0.1,0.199273283,0.076288974,0.123226882,0.028143224,0.009745
492,0.1,0.199919324,0.076392654,0.122652382,0.028256257,0.009755
493,0.1,0.20059743,0.076502853,0.122240086,0.028431264,0.009767
494,0.1,0.201305268,0.076624836,0.121915756,0.028637659,0.00978
495,0.1,0.202041393,0.076763948,0.121655992,0.028857964,0.009796
496,0.1,0.202816165,0.076921389,0.121590126,0.029119714,0.009812
497,0.1,0.203632459,0.077099468,0.121730565,0.029432665,0.00983
498,0.1,0.204486673,0.077299366,0.122037619,0.029795878,0.00985
499,0.1,0.205391784,0.077524293,0.122544793,0.030161976,0.00987
500,0.1,0.206340278,0.077776902,0.123266421,0.030544322,0.009893
501,0.1,0.207314674,0.078061089,0.124185032,0.031032253,0.009918
502,0.1,0.208299927,0.07836949,0.125236059,0.031565456,0.009945
503,0.1,0.209297743,0.078701208,0.126369298,0.032080786,0.009975
504,0.1,0.21032615,0.07905219,0.127629603,0.03264651,0.01001
505,0.1,0.211391126,0.07941689,0.129017125,0.033260652,0.01004
506,0.1,0.212487799,0.079789304,0.130500564,0.033874591,0.01008
507,0.1,0.213592962,0.080170569,0.132026443,0.034487947,0.01012
508,0.1,0.214699014,0.080560055,0.133578942,0.035100242,0.01016
509,0.1,0.215819665,0.080956309,0.135202188,0.035701748,0.0102
510,0.1,0.216954499,0.081348891,0.136871553,0.036315864,0.01023
511,0.1,0.218093883,0.081728407,0.13853093,0.036950704,0.01027
512,0.1,0.219245933,0.082099071,0.140115878,0.037559384,0.01031
513,0.1,0.220408096,0.082458754,0.141615188,0.038137645,0.01035
514,0.1,0.221569124,0.082802118,0.143048225,0.038683289,0.0104
515,0.1,0.222730678,0.083133104,0.144404699,0.039190798,0.01047
516,0.1,0.223893837,0.08345615,0.145662701,0.039661003,0.01054
517,0.1,0.225053912,0.083761595,0.146778585,0.040084846,0.01063
518,0.1,0.226216528,0.084051131,0.147755913,0.040473864,0.01073
519,0.1,0.227386341,0.084332494,0.148614276,0.040853586,0.01086
520,0.1,0.228555998,0.084601921,0.149349235,0.041201086,0.01101
521,0.1,0.22972232,0.084861561,0.149969468,0.041508349,0.01118
522,0.1,0.230886078,0.085119567,0.150498933,0.041805089,0.01138
523,0.1,0.232051097,0.085380293,0.150940328,0.042082493,0.01161
524,0.1,0.233224107,0.085647686,0.151285478,0.042321232,0.01186
525,0.1,0.234402966,0.085919952,0.151525437,0.042537154,0.01215
526,0.1,0.23558263,0.086204149,0.151698995,0.04273791,0.01247
527,0.1,0.236764045,0.086510157,0.151868792,0.042916056,0.01282
528,0.1,0.237949636,0.086835252,0.152001445,0.043094613,0.01321
529,0.1,0.239141647,0.087178168,0.15207932,0.043287069,0.01364
530,0.1,0.240341508,0.087549597,0.152152329,0.043466777,0.01411
531,0.1,0.24155085,0.087950888,0.152218149,0.043632322,0.01462
532,0.1,0.242772507,0.088382757,0.152258969,0.043786044,0.01518
533,0.1,0.244009356,0.088849363,0.152299274,0.04392834,0.01578
534,0.1,0.245262744,0.089351179,0.152350152,0.044068077,0.01643
535,0.1,0.246526912,0.089890376,0.152408389,0.044212518,0.01712
536,0.1,0.247809319,0.090471441,0.152500427,0.044360817,0.01786
537,0.1,0.249118643,0.091097541,0.152647706,0.044512928,0.01864
538,0.1,0.25045015,0.091767815,0.15282791,0.044664965,0.01947
539,0.1,0.251802548,0.09248395,0.153047903,0.044822234,0.02033
540,0.1,0.253178853,0.093248872,0.153332932,0.045006513,0.02124
541,0.1,0.254580628,0.094065105,0.153655093,0.045205507,0.02218
542,0.1,0.256007804,0.094931906,0.154000648,0.045399476,0.02315
543,0.1,0.257461525,0.095846649,0.154410306,0.045587821,0.02413
544,0.1,0.25894181,0.096806134,0.154882206,0.045795493,0.02513
545,0.1,0.260447352,0.097806791,0.155387754,0.046039008,0.02612
546,0.1,0.261977249,0.098843505,0.155895011,0.04630136,0.02712
547,0.1,0.263531365,0.099915323,0.156387552,0.046579538,0.02809
548,0.1,0.26511094,0.101023236,0.156862463,0.046869085,0.02905
549,0.1,0.266717223,0.102171012,0.157299054,0.047153581,0.02999
550,0.1,0.268347417,0.103362577,0.157673576,0.047427477,0.03089
551,0.1,0.269996251,0.10460259,0.157972543,0.047705176,0.03175
552,0.1,0.271658621,0.105896355,0.158177299,0.047986118,0.03258
553,0.1,0.273329413,0.107249433,0.158255107,0.048265464,0.03336
554,0.1,0.275004027,0.108663971,0.158206816,0.048523645,0.0341
555,0.1,0.276676689,0.110141066,0.158045143,0.048757506,0.03479
556,0.1,0.278342279,0.111677716,0.157770704,0.048997829,0.03544
557,0.1,0.279991102,0.113269571,0.157384514,0.049231823,0.03604
558,0.1,0.281612251,0.114910485,0.156901921,0.049438546,0.0366
559,0.1,0.283204346,0.116591566,0.156339967,0.049622092,0.03711
560,0.1,0.284762088,0.118303301,0.155723159,0.049782853,0.03759
561,0.1,0.286276793,0.120034121,0.155094453,0.049933907,0.03803
562,0.1,0.287743943,0.121769838,0.154496654,0.050086402,0.03844
563,0.1,0.289161816,0.123494762,0.153977706,0.050242219,0.03882
564,0.1,0.290527719,0.125193143,0.153597292,0.050394659,0.03917
565,0.1,0.291838053,0.12684963,0.153406338,0.050559531,0.0395
566,0.1,0.293093946,0.128448873,0.153443917,0.050759594,0.03981
567,0.1,0.294299505,0.129974596,0.153748303,0.051000113,0.0401
568,0.1,0.295455392,0.131411304,0.15435868,0.051288461,0.04038
569,0.1,0.296560939,0.132744189,0.155307614,0.05163041,0.04064
570,0.1,0.297620443,0.133959351,0.156627483,0.052020874,0.04088
571,0.1,0.298639309,0.135044319,0.158345684,0.052459044,0.04112
572,0.1,0.299617888,0.135986776,0.16045545,0.052979434,0.04134
573,0.1,0.300558331,0.136776134,0.162939566,0.053593785,0.04156
574,0.1,0.301466925,0.137405639,0.16576702,0.054282376,0.04175
575,0.1,0.302345415,0.137871483,0.168917354,0.05502672,0.04193
576,0.1,0.303196376,0.138171726,0.172366773,0.055817469,0.04208
577,0.1,0.304022458,0.138306636,0.176058311,0.056678442,0.04221
578,0.1,0.304827158,0.138284602,0.179936042,0.05760458,0.0423
579,0.1,0.305615007,0.138121371,0.183952327,0.058565733,0.04236
580,0.1,0.306392887,0.137837416,0.188048287,0.05955035,0.04237
581,0.1,0.30716689,0.137458537,0.192164822,0.060547102,0.04234
582,0.1,0.307940386,0.137013934,0.196249427,0.061542778,0.04226
583,0.1,0.308716156,0.13653843,0.200257816,0.062541056,0.04213
584,0.1,0.30949652,0.136068799,0.204147666,0.063545433,0.04195
585,0.1,0.310283946,0.135639329,0.207860393,0.0645208,0.04172
586,0.1,0.311080272,0.135282536,0.2113638,0.065458354,0.04144
587,0.1,0.31188691,0.135028834,0.214654823,0.066380014,0.04112
588,0.1,0.312704165,0.134900273,0.217713351,0.067259806,0.04075
589,0.1,0.313529025,0.134912835,0.220521939,0.068073747,0.04034
590,0.1,0.314354219,0.135077159,0.223071638,0.068845422,0.03989
591,0.1,0.315176894,0.13539718,0.2253584,0.06957159,0.03941
592,0.1,0.31599634,0.135871353,0.227387108,0.070232979,0.0389
593,0.1,0.316805355,0.136489842,0.22916308,0.070827688,0.03837
594,0.1,0.317595169,0.137236138,0.230690937,0.071352168,0.03782
595,0.1,0.318358355,0.138090361,0.231969089,0.071807668,0.03727
596,0.1,0.31908565,0.139026421,0.232989465,0.072194798,0.03671
597,0.1,0.319766525,0.140013511,0.233751309,0.072510049,0.03616
598,0.1,0.320392949,0.141015822,0.234277381,0.07275617,0.03562
